,AIRPORT
0,Lehigh Valley International Airport
1,Abilene Regional Airport
2,Albuquerque International Sunport
3,Aberdeen Regional Airport
4,Southwest Georgia Regional Airport
5,Nantucket Memorial Airport
6,Waco Regional Airport
7,Arcata Airport
8,Atlantic City International Airport
9,Adak Airport
10,Kodiak Airport
11,Alexandria International Airport
12,Augusta Regional Airport (Bush Field)
13,King Salmon Airport
14,Albany International Airport
15,Waterloo Regional Airport
16,Rick Husband Amarillo International Airport
17,Ted Stevens Anchorage International Airport
18,Alpena County Regional Airport
19,Aspen-Pitkin County Airport
20,Hartsfield-Jackson Atlanta International Airport
21,Appleton International Airport
22,Austin-Bergstrom International Airport
23,Asheville Regional Airport
24,Wilkes-Barre/Scranton International Airport
25,Kalamazoo/Battle Creek International Airport
26,Bradley International Airport
27,Bethel Airport
28,Meadows Field
29,Greater Binghamton Airport
30,Bangor International Airport
31,Birmingham-Shuttlesworth International Airport
32,Billings Logan International Airport
33,Bismarck Municipal Airport
34,Bemidji Regional Airport
35,Bellingham International Airport
36,Central Illinois Regional Airport at Bloomington-Normal
37,Nashville International Airport
38,Boise Airport (Boise Air Terminal)
39,Gen. Edward Lawrence Logan International Airport
40,Jack Brooks Regional Airport (Southeast Texas Regional)
41,Brunswick Golden Isles Airport
42,Rafael Hernández Airport
43,Brainerd Lakes Regional Airport
44,Brownsville/South Padre Island International Airport
45,Wiley Post-Will Rogers Memorial Airport
46,Bert Mooney Airport
47,Baton Rouge Metropolitan Airport
48,Burlington International Airport
49,Buffalo Niagara International Airport
50,Bob Hope Airport (Hollywood Burbank Airport)
51,Baltimore-Washington International Airport
52,Bozeman Yellowstone International Airport (Gallatin Field Airport)
53,Columbia Metropolitan Airport
54,Akron-Canton Regional Airport
55,Cedar City Regional Airport
56,Merle K. (Mudhole) Smith Airport
57,Del Norte County Airport (Jack McNamara Field)
58,Chattanooga Metropolitan Airport (Lovell Field)
59,Charlottesville-Albemarle Airport
60,Charleston International Airport/Charleston AFB
61,The Eastern Iowa Airport
62,Chippewa County International Airport
63,McClellan-Palomar Airport
64,Cleveland Hopkins International Airport
65,Easterwood Airport
66,Charlotte Douglas International Airport
67,Port Columbus International Airport
68,University of Illinois - Willard Airport
69,Houghton County Memorial Airport
70,Canyonlands Field
71,Yellowstone Regional Airport
72,City of Colorado Springs Municipal Airport
73,Columbia Regional Airport
74,Natrona County International Airport
75,Corpus Christi International Airport
76,Yeager Airport
77,Columbus Metropolitan Airport
78,Cincinnati/Northern Kentucky International Airport
79,Central Wisconsin Airport
80,Daytona Beach International Airport
81,Dallas Love Field
82,James M. Cox Dayton International Airport
83,Dubuque Regional Airport
84,Ronald Reagan Washington National Airport
85,Denver International Airport
86,Dallas/Fort Worth International Airport
87,Dothan Regional Airport
88,Dickinson Theodore Roosevelt Regional Airport
89,Dillingham Airport
90,Duluth International Airport
91,Durango-La Plata County Airport
92,Des Moines International Airport
93,Detroit Metropolitan Airport
94,Devils Lake Regional Airport
95,Chippewa Valley Regional Airport
96,Northwest Florida Beaches International Airport
97,Eagle County Regional Airport
98,Elko Regional Airport
99,Elmira/Corning Regional Airport
100,El Paso International Airport
101,Erie International Airport
102,Delta County Airport
103,Eugene Airport (Mahlon Sweet Field)
104,Evansville Regional Airport
105,Coastal Carolina Regional Airport (Craven County Regional)
106,Newark Liberty International Airport
107,Key West International Airport
108,Fairbanks International Airport
109,Hector International Airport
110,Fresno Yosemite International Airport
111,Fayetteville Regional Airport
112,Glacier Park International Airport
113,Flagstaff Pulliam Airport
114,Fort Lauderdale-Hollywood International Airport
115,Bishop International Airport
116,Sioux Falls Regional Airport
117,Fort Smith Regional Airport
118,Fort Wayne International Airport
119,Gillette-Campbell County Airport
120,Garden City Regional Airport
121,Spokane International Airport
122,Grand Forks International Airport
123,East Texas Regional Airport
124,Grand Junction Regional Airport (Walker Field)
125,Gainesville Regional Airport
126,Gulfport-Biloxi International Airport
127,Green Bay-Austin Straubel International Airport
128,Central Nebraska Regional Airport
129,Killeen-Fort Hood Regional Airport
130,Gerald R. Ford International Airport
131,Piedmont Triad International Airport
132,Greenville-Spartanburg International Airport
133,Gustavus Airport
134,Great Falls International Airport
135,Golden Triangle Regional Airport
136,Gunnison-Crested Butte Regional Airport
137,Guam International Airport
138,Yampa Valley Airport (Yampa Valley Regional)
139,Range Regional Airport (Chisholm-Hibbing Airport)
140,Helena Regional Airport
141,Honolulu International Airport
